COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
199192390,33,3304805,330480515,33048051500,28400000,-21.592798,-41.882545,PLANTACAO DE MILHO,4567,49
98696554,33,3300209,330020915,33002091500,28988752,-22.703715,-42.193625,CRIACAO GADO BOVINO,4662,50
42022138,33,3302106,330210615,33021061500,28575000,-21.721409,-41.999312,PRODUCAO DE LEITE,471,51
110870866,33,3306156,330615605,33061560500,28375000,-20.864271,-41.895256,,6118,52
112725389,33,3304102,330410205,33041020500,28390000,-20.95365,-42.069457,,1063,53
197349790,33,3302403,330240340,33024034000,27995000,-22.368198,-42.18965,SITIO GRACA DE MARIA,3726,54
112829245,33,3301108,330110825,33011082500,28510000,-21.842865,-42.372616,,4179,55
112726639,33,3304102,330410215,33041021500,28390000,-20.843494,-41.888416,,2999,56
112510661,33,3302403,330240305,33024030502,27979000,-22.270068,-41.78041,,2656,57
112820584,33,3300605,330060525,33006052500,28365000,-20.955836,-41.746773,,4056,58
112682856,33,3300506,330050620,33005062000,28660000,-22.268886,-42.348631,,5800,59
199847048,33,3306206,330620630,33062063000,27770000,-22.372578,-43.525522,SITIO DONA ELZA,6830,60
42389466,33,3302304,330230405,33023040500,28350000,-21.220827,-42.058353,,2636,61
110864507,33,3303401,330340125,33034012500,28633317,-22.368458,-42.436487,,3710,62
96748234,33,3306107,330610705,33061070500,27600000,-22.257521,-43.75933,CULTIVO DE HORTALICAS,779,63
110867841,33,3304755,330475505,33047550500,28230000,-21.475343,-41.225845,CURRAL,3592,64
98826031,33,3302304,330230405,33023040500,28350000,-21.242713,-42.05499,CURRAL,1224,65
202064668,33,3301009,330100920,33010092000,28070420,-21.805199,-41.532238,SEM NOME,2453,66
110859052,33,3300308,330030825,33003082500,27155000,-22.494593,-43.917787,,5546,67
110572607,33,3301900,330190019,33019001900,24846005,-22.843782,-42.807001,,7558,68
199342984,33,3305406,330540625,33054062500,25884000,-22.124424,-42.818408,PLANTACAO VERDURA,4641,69
198013739,33,3303856,330385605,33038560500,26950000,-22.388831,-43.446018,LAVOURA DE FEIJAO,2660,70
110861797,33,3301702,330170220,33017022000,25245810,-22.605319,-43.408766,CRIACAO DE PEIXES,6549,71
112842091,33,3304706,330470650,33047065000,28470000,-21.62775,-42.292317,,4724,72
110863416,33,3302502,330250235,33025023500,25917060,-22.604287,-43.156703,,253,73
112539731,33,3306156,330615605,33061560500,28375000,-20.823041,-41.742975,,5418,74
110071864,33,3300902,330090210,33009021000,28430000,-21.580558,-42.058148,,7320,75
113225492,33,3304755,330475505,33047550500,28230000,-21.542648,-41.159966,CURRAL,1596,76
110867796,33,3304755,330475515,33047551500,28230000,-21.330175,-41.100451,,5180,77
112691145,33,3305307,330530715,33053071500,28550000,-21.805742,-42.03165,,695,78
110869214,33,3305406,330540620,33054062000,25886000,-22.005253,-42.790262,FAZENDA MONTE CAFE,7126,79
110572862,33,3302700,330270005,33027000500,24907000,-22.865179,-42.776136,,6308,80
112684725,33,3300506,330050620,33005062000,28666000,-22.236927,-42.397274,,4164,81
201917594,33,3300902,330090220,33009022000,28435000,-21.382961,-41.788758,CURRAL,6641,82
110861647,33,3301603,330160305,33016030500,28655000,-22.069084,-42.519592,,4471,83
42026040,33,3302106,330210625,33021062500,28570000,-21.66744,-42.019737,CURRAL,4649,84
112638269,33,3304409,330440915,33044091500,27475000,-22.803459,-44.229729,,1113,85
199392329,33,3306156,330615605,33061560500,28375000,-20.906108,-41.832158,PRUDUCAO DE CAFE,2575,86
40628203,33,3300902,330090205,33009020500,28435000,-21.564342,-42.018879,CRIACAO DE GADO,1232,87
40745027,33,3300902,330090210,33009021000,28430000,-21.634918,-42.06353,,6540,88
110858478,33,3300100,330010025,33001002500,23943503,-22.945185,-44.593185,,1059,89
113064511,33,3301009,330100950,33010095000,28140000,-21.943413,-41.211946,SEM NOME,4558,90
42961449,33,3303906,330390605,33039060500,25615087,-22.511702,-43.146405,DEPOSITO GALPAO PRODUTOS RURAIS,5623,91
110861285,33,3301405,330140510,33014051000,28740000,-22.124871,-41.79329,GADO DE CORTE,263,92
204683997,33,3304706,330470650,33047065000,28470000,-21.604565,-42.29198,SN,5083,93
98823595,33,3303906,330390623,33039062300,25770220,-22.316266,-43.080176,,5105,94
41197539,33,3301603,330160305,33016030500,28650000,-22.049509,-42.568098,PRODUCAO LEITEIRA,3321,95
110149906,33,3301207,330120705,33012070500,28640000,-21.868944,-42.580988,,3289,96
40536055,33,3300308,330030815,33003081500,27170000,-22.354101,-43.896085,CRIACAO DE ANIMAIS,4169,97
113129696,33,3304805,330480510,33048051000,28400000,-21.747377,-41.913509,,4397,98
98997969,33,3305802,330580210,33058021000,25985010,-22.162596,-42.760104,PRODUTOR,2701,99
95245069,33,3301702,330170220,33017022000,25250646,-22.621517,-43.340192,CRIACAO DE BOI E PLANTACAO DE AIMPIM,6922,100
